,POSTCODE_VAN,POSTCODE_TOT,Aantal Aansluitingen,%Leveringsrichting,%Fysieke status,%Defintieve aansl (NRM),%Soort aansluiting,Soort aansluiting Naam,SJV,%SJV laag tarief,%Slimme Meter,Gemiddeld aantal telwielen
206,1011JN,1011JN,18,100,100,100,94,3x25,3828,"5,56",0,"1,3"
208,1011JP,1011JP,14,100,100,100,86,3x25,10666,"28,57",0,"1,5"
210,1011JR,1011JR,13,100,100,100,92,3x25,8458,"15,38",0,"1,2"
212,1011JS,1011JT,25,100,88,100,84,3x25,14292,24,0,"1,5"
214,1011JV,1011JV,18,100,"94,44",100,100,3x25,2132,"11,11",0,"1,2"
216,1011JW,1011JW,10,100,100,100,100,3x25,8581,40,0,"1,4"
218,1011JX,1011JX,15,100,"93,33",100,93,3x25,4808,"26,67",0,"1,3"
219,1011JZ,1011JZ,19,100,100,100,95,3x25,6530,"15,79",0,"1,2"
221,1011KA,1011KA,33,100,100,100,97,3x25,3030,"6,06",0,"1,1"
223,1011KB,1011KB,26,100,100,100,81,3x25,6730,"15,38",0,"1,5"
225,1011KC,1011KC,28,100,"92,86",100,93,3x25,4006,"10,71",0,"1,5"
227,1011KD,1011KD,16,100,100,100,88,3x25,9911,"18,75",0,"2,8"
229,1011KE,1011KH,30,100,"96,67",100,83,3x25,5345,"26,67",0,"1,4"
231,1011KJ,1011KJ,38,100,"97,37",100,97,3x25,2214,"2,63",0,"1,3"
233,1011KK,1011KK,31,100,100,100,97,3x25,2352,"6,45",0,"1,1"
235,1011KL,1011KM,14,100,"92,86",100,100,3x25,5263,"14,29",0,"1,2"
237,1011KN,1011KN,22,100,100,100,100,3x25,2646,"18,18",0,"1,3"
239,1011KP,1011KP,17,100,"47,06",100,88,3x25,2417,0,0,"1,6"
241,1011KR,1011KR,23,100,"86,96",100,91,3x25,2314,"8,7",0,"1,4"
243,1011KS,1011KS,15,100,100,100,93,3x25,2694,"6,67",0,"1,1"
245,1011KT,1011KT,29,100,100,100,100,3x25,3055,"6,9",0,"1,3"
247,1011KV,1011KW,91,100,"98,9",100,98,3x25,2933,"5,49",0,"1,1"
249,1011KX,1011KZ,41,100,"95,12",100,93,3x25,3064,"9,76",0,"1,6"
251,1011LA,1011LA,12,100,100,100,100,3x25,1668,0,0,"1,2"
253,1011LB,1011LB,29,100,"96,55",100,86,3x25,5130,"24,14",0,"1,3"
255,1011LC,1011LC,14,100,100,100,93,3x25,4130,"7,14",0,"1,1"
257,1011LD,1011LD,50,100,100,100,96,3x25,3651,10,0,"1,6"
259,1011LE,1011LE,43,100,"95,35",100,93,3x25,2849,"6,98",0,"2,2"
